source_id,task,precision,modality,horizon,source_n,native_mse,metric,mean,marginal_95_low,marginal_95_high,n,percent_of_reference,percent_95_low,percent_95_high,missing_reason
S27,pusht,bfloat16,visual,5,21,0.101547821141488,factorial_from_arm_losses,2.740066911125963e-05,-5.6225586662015074e-05,0.00011394734399088768,21,0.026983020219687327,-0.057462064672340156,0.10901498847734796,
S27,pusht,bfloat16,visual,6,21,0.11169447091696534,factorial_from_arm_losses,1.7577770143692967e-05,-0.000205770834476062,0.00022752984850161012,21,0.01573736819682009,-0.19452852949711216,0.19391966974136332,
S27,pusht,bfloat16,visual,6,21,0.11169447091696534,output_interaction_mse,0.0005568095643995843,0.00027689141695335517,0.0009543286560605961,21,0.49851130483757017,0.257018462335525,0.8636570106001683,
S27,pusht,bfloat16,visual,6,21,0.11169447091696534,additive_quadratic_cross,0.0003367933435826646,5.5360231363736084e-05,0.0007393138419496794,21,0.301530900158021,0.05037037789552768,0.6593922454193252,
S27,pusht,bfloat16,visual,6,21,0.11169447091696534,nonadditive_mse_remainder,-0.0003192150992417045,-0.0007916019155600175,1.695334928561191e-05,21,-0.2857931074126416,-0.7312136687468829,0.014935014474990288,
S28,pusht,float32,proprio,1,21,0.00010934362255432779,factorial_from_arm_losses,0.0,0.0,0.0,21,0.0,0.0,0.0,
S28,pusht,float32,proprio,1,21,0.00010934362255432779,output_interaction_mse,0.0,0.0,0.0,21,0.0,0.0,0.0,
S28,pusht,float32,proprio,1,21,0.00010934362255432779,additive_quadratic_cross,0.0,0.0,0.0,21,0.0,0.0,0.0,
S28,pusht,float32,proprio,1,21,0.00010934362255432779,nonadditive_mse_remainder,0.0,0.0,0.0,21,0.0,0.0,0.0,
S28,pusht,float32,proprio,2,21,0.00012482581446770038,factorial_from_arm_losses,0.0,0.0,0.0,21,0.0,0.0,0.0,
S28,pusht,float32,proprio,3,21,0.00014007974026966036,factorial_from_arm_losses,-1.1506400019834799e-07,-1.3254641021125852e-07,-9.865194962098136e-08,21,-0.0821417857977493,-0.10050722340395511,-0.06562722582307831,
S28,pusht,float32,proprio,3,21,0.00014007974026966036,output_interaction_mse,1.3839992785759764e-11,1.155221686586555e-11,1.6659914490544873e-11,21,9.880081701406e-06,7.936137044087458e-06,1.217125985205103e-05,
S28,pusht,float32,proprio,3,21,0.00014007974026966036,additive_quadratic_cross,-1.1477918860520385e-07,-1.3263709556522657e-07,-9.79138438433356e-08,21,-0.08193846475175375,-0.10061385928544418,-0.06509726050287844,
S28,pusht,float32,proprio,3,21,0.00014007974026966036,nonadditive_mse_remainder,-2.8442176729741116e-10,-2.003135217590637e-09,1.4356396111592762e-09,21,-0.00020304275746791458,-0.001416907768943304,0.0010456283933531212,
S28,pusht,float32,proprio,4,21,0.0001548334549740711,factorial_from_arm_losses,-5.692212618041533e-08,-6.957572011849402e-08,-4.4549340655460267e-08,21,-0.03676345411910344,-0.047609736615636056,-0.027141281640276897,
