task,bank,arm,modality,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,horizon
reach,fresh,donor_h3_B4,visual,excess_reference_cost,100,100,0.0889100182056427,0.06912218913435936,0.10985970386862756,
reach,fresh,donor_h3_B4,visual,excess_reference_cost_percent,100,100,4.8090922263329094,3.616010704102021,6.095980104264609,
reach,fresh,donor_h3_B4,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B4,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B5,official,reference_spearman,100,100,0.7513204706001143,0.7448165586411538,0.7576580262711201,
reach,fresh,donor_h3_B5,official,reference_top10_overlap,100,100,3.98,3.7200000000000006,4.24,
reach,fresh,donor_h3_B5,official,winner_changed,100,100,0.75,0.66,0.8300000000000001,
reach,fresh,donor_h3_B5,official,selected_in_reference_minimum_set,100,100,0.25,0.16999999999999998,0.33999999999999997,
reach,fresh,donor_h3_B5,official,excess_reference_cost,100,100,0.11709676742553711,0.09216210609674454,0.14348721083998678,
reach,fresh,donor_h3_B5,official,excess_reference_cost_percent,100,100,6.492508878211001,4.914569362587993,8.238979462106126,
reach,fresh,donor_h3_B5,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B5,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B5,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B5,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,donor_h3_B5,proprio,reference_spearman,100,100,0.7736410893454372,0.7682529205880065,0.7789435159279547,
reach,fresh,donor_h3_B5,proprio,reference_top10_overlap,100,100,4.59,4.3100000000000005,4.870000000000001,
reach,fresh,donor_h3_B5,proprio,winner_changed,100,100,0.69,0.6,0.78,
reach,fresh,donor_h3_B5,proprio,selected_in_reference_minimum_set,100,100,0.31,0.22,0.4,
