task,episode,layer,horizon,head,T,H,W,action_tokens,spatial_distance_patches,temporal_distance_frames,conditioning_mass,visual_mass
reach,0,1,3,15,2,16,16,0,7.658385639512753,0.11977970607907018,0.0,1.0000000149011612
reach,0,2,3,0,2,16,16,0,7.0360987186431885,0.047329334542155266,0.0,1.0
reach,0,2,3,1,2,16,16,0,6.484927523768898,0.0038429806877335955,0.0,0.9999999925494194
reach,0,2,3,2,2,16,16,0,6.6270037191137945,0.012234722820928117,0.0,0.9999999925494194
reach,0,2,3,3,2,16,16,0,6.789464276872043,0.13941650300348554,0.0,0.9999999850988388
reach,0,2,3,4,2,16,16,0,8.062929034701952,0.016532313667478513,0.0,0.9999999925494194
reach,0,2,3,5,2,16,16,0,7.481832500411812,0.21774447126496188,0.0,0.9999999925494194
reach,0,2,3,6,2,16,16,0,7.975062608347276,0.2263125028656796,0.0,0.9999999850988388
reach,0,2,3,7,2,16,16,0,8.06072187423706,0.19296052679419518,0.0,1.0
reach,0,2,3,8,2,16,16,0,6.742462057732611,0.19275029833986912,0.0,1.0000000149011612
reach,0,2,3,9,2,16,16,0,7.261037349700928,0.0432165457168594,0.0,1.0
reach,0,2,3,10,2,16,16,0,6.992721855640411,0.2068043351173401,0.0,1.0
reach,0,2,3,11,2,16,16,0,7.489134307869779,0.03567616039459527,0.0,0.9999999925494194
reach,0,2,3,12,2,16,16,0,7.276037438423279,0.2620466000299141,0.0,0.9999999776482582
reach,0,2,3,13,2,16,16,0,6.69865200964588,0.04677069443122587,0.0,0.9999999850988388
reach,0,2,3,14,2,16,16,0,7.333307256300856,0.10107923635958488,0.0,0.9999999850988388
reach,0,2,3,15,2,16,16,0,7.042337470072042,0.06670575079847686,0.0,0.9999999925494194
reach,0,3,3,0,2,16,16,0,6.044182896614075,0.0021751733438577503,0.0,1.0
reach,0,3,3,1,2,16,16,0,7.748170847032313,0.004989449628392971,0.0,0.9999999776482582
reach,0,3,3,2,2,16,16,0,6.604991088770396,0.011246240148348807,0.0,1.0000000074505806
reach,0,3,3,3,2,16,16,0,7.873551367771263,0.19599957537650745,0.0,0.9999999925494194
reach,0,3,3,4,2,16,16,0,6.990866541862488,0.019774167565628886,0.0,1.0
reach,0,3,3,5,2,16,16,0,6.808924436569214,0.013572816969826818,0.0,1.0
reach,0,3,3,6,2,16,16,0,7.39882587938626,0.002565333114958056,0.0,0.9999999925494194
reach,0,3,3,7,2,16,16,0,7.364641845226288,0.004004054615506902,0.0,1.0
reach,0,3,3,8,2,16,16,0,6.8110579163659954,0.006690488857937894,0.0,0.9999999925494194
reach,0,3,3,9,2,16,16,0,7.352187216281891,0.3008738234639168,0.0,1.0
reach,0,3,3,10,2,16,16,0,7.549788471682284,0.010170805693014009,0.0,0.9999999925494194
reach,0,3,3,11,2,16,16,0,7.0766900250562275,0.1476752709770555,0.0,1.0000000074505806
reach,0,3,3,12,2,16,16,0,9.043195195817912,0.04343093777769012,0.0,0.9999999925494194
reach,0,3,3,13,2,16,16,0,7.597303986549377,0.0533721037209034,0.0,1.0
reach,0,3,3,14,2,16,16,0,6.257621513736408,0.02155608152733059,0.0,0.9999999925494194
reach,0,3,3,15,2,16,16,0,7.5801063776016235,0.03541468037292361,0.0,1.0
reach,0,4,3,0,2,16,16,0,5.312052965164185,0.31694554537534714,0.0,1.0
