task,condition,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,both_positive_count,both_zero_count,linear_zero_count,cubic_zero_count
reach,float32_field_bfloat16_roundtrip,1,log_ratio,32,32,-0.064028597264200626,-0.070243976609928524,-0.058134245037657829,32,0,0,0
reach,float32_field_bfloat16_roundtrip,1,donor_response_rms_mean,32,32,0.012749948805628127,0.012536990801325741,0.012960967452435969,32,0,0,0
reach,float32_field_bfloat16_roundtrip,1,exact_unchanged_fraction_mean,32,32,0.65719131469726566,0.65653198242187494,0.65786037254333496,32,0,0,0
reach,float32_field_bfloat16_roundtrip,2,linear_center_mse,32,32,0.00014579197667552088,0.00014135117259640709,0.0001502520629222756,32,0,0,0
reach,float32_field_bfloat16_roundtrip,2,cubic_center_mse,32,32,0.00013870606030472258,0.00013433002034431819,0.00014304683800037707,32,0,0,0
reach,float32_field_bfloat16_roundtrip,2,log_ratio,32,32,-0.050088482916116783,-0.055008983106010989,-0.045398665116533982,32,0,0,0
reach,float32_field_bfloat16_roundtrip,2,donor_response_rms_mean,32,32,0.020027530900069642,0.019761965895706491,0.020285547960679273,32,0,0,0
reach,float32_field_bfloat16_roundtrip,2,exact_unchanged_fraction_mean,32,32,0.59882209777832029,0.59742491722106927,0.60016559028625482,32,0,0,0
reach,float32_field_bfloat16_roundtrip,3,linear_center_mse,32,32,0.00016824164531701108,0.00016400974218961948,0.0001724441680835267,32,0,0,0
reach,float32_field_bfloat16_roundtrip,3,cubic_center_mse,32,32,0.00016814885692382586,0.00016399529567158143,0.00017228148890231182,32,0,0,0
reach,float32_field_bfloat16_roundtrip,3,log_ratio,32,32,-0.00044200602345856321,-0.0047768405369095377,0.00395113726928128,32,0,0,0
reach,float32_field_bfloat16_roundtrip,3,donor_response_rms_mean,32,32,0.023659562763233766,0.023406312978884583,0.023925976677638513,32,0,0,0
reach,float32_field_bfloat16_roundtrip,3,exact_unchanged_fraction_mean,32,32,0.59015968322753909,0.58700472640991208,0.59304886245727539,32,0,0,0
reach,float32_field_bfloat16_roundtrip,4,linear_center_mse,32,32,0.00051723930325604903,0.00050207969353868839,0.00053224411802594239,32,0,0,0
reach,float32_field_bfloat16_roundtrip,4,cubic_center_mse,32,32,0.00052247018675851862,0.00050810578063524667,0.00053660271188726546,32,0,0,0
reach,float32_field_bfloat16_roundtrip,4,log_ratio,32,32,0.010417113755123275,0.0046428630821397886,0.016253765686190934,32,0,0,0
reach,float32_field_bfloat16_roundtrip,4,donor_response_rms_mean,32,32,0.042961991922432961,0.042403988552734168,0.04350405063902428,32,0,0,0
