task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,coherent_raw_h3,visual,6,numerator_mse_mean,8,8,0,0,0
reach,fresh,coherent_raw_h3,visual,6,denominator_mse_mean,8,8,0.17446333220155236,0.16417999203502295,0.18571190346666477
reach,fresh,coherent_raw_h3,visual,6,native_spearman,8,8,0.74755225058056207,0.72166746297181084,0.77230935899287767
reach,fresh,coherent_raw_h3,visual,6,spearman_loss,8,8,0.25244774941943798,0.22769064100712233,0.27833253702818922
reach,fresh,coherent_raw_h3,visual,6,native_top10_overlap,8,8,4.625,3.375,5.75
reach,fresh,coherent_raw_h3,visual,6,centered_cost_change_rms,8,8,0.10326634392518957,0.086846132480866395,0.12479529317641333
reach,fresh,donor_h3_B0,official,3,donor_reconstruction,8,8,0.3350758434764588,0.32797107150504085,0.34131159934148203
reach,fresh,donor_h3_B0,official,3,numerator_mse_mean,8,8,0.030084894972678203,0.028130242497211855,0.032124096054769062
reach,fresh,donor_h3_B0,official,3,denominator_mse_mean,8,8,0.045206001291607442,0.042550810582946914,0.047850867946738089
reach,fresh,donor_h3_B0,official,3,native_spearman,8,8,0.99819686885409842,0.99782758141757122,0.99853143229369223
reach,fresh,donor_h3_B0,official,3,spearman_loss,8,8,0.0018031311459016097,0.0014685677063078465,0.0021724185824286823
reach,fresh,donor_h3_B0,official,3,native_top10_overlap,8,8,9.5,9.125,9.875
reach,fresh,donor_h3_B0,official,3,centered_cost_change_rms,8,8,0.0082482932625628572,0.0071347222690217489,0.0094638214389359404
reach,fresh,donor_h3_B0,official,4,donor_reconstruction,8,8,0.10075474349531909,0.096757949548241476,0.10523504498380247
reach,fresh,donor_h3_B0,official,4,numerator_mse_mean,8,8,0.14156592997950601,0.13229549168650545,0.15157082169334204
reach,fresh,donor_h3_B0,official,4,denominator_mse_mean,8,8,0.15735417205709912,0.14749186776122747,0.16774013421668596
reach,fresh,donor_h3_B0,official,4,native_spearman,8,8,0.99819686885409842,0.99782758141757122,0.99853143229369223
reach,fresh,donor_h3_B0,official,4,spearman_loss,8,8,0.0018031311459016097,0.0014685677063078465,0.0021724185824286823
reach,fresh,donor_h3_B0,official,4,native_top10_overlap,8,8,9.5,9.125,9.875
reach,fresh,donor_h3_B0,official,4,centered_cost_change_rms,8,8,0.0082482932625628572,0.0071347222690217489,0.0094638214389359404
reach,fresh,donor_h3_B0,official,6,donor_reconstruction,8,8,0.084589831772657789,0.080685582312593179,0.088399563818587171
reach,fresh,donor_h3_B0,official,6,numerator_mse_mean,8,8,0.1601203077813334,0.15030649035598584,0.17099231487303165
reach,fresh,donor_h3_B0,official,6,denominator_mse_mean,8,8,0.17485366522844392,0.16454510467935715,0.18612528250334948
